,f_Signal_1Hz,f_Signal_1p05Hz,f_Signal_1p1Hz,f_Signal_1p5Hz,f_Signal_2p0Hz,f_Signal_10Hz,f_Signal_40Hz,f_Singnal_Mix,PSD_Signal_1Hz,PSD_Signal_1p05Hz,PSD_Signal_1p1Hz,PSD_Signal_1p5Hz,PSD_Signal_2p0Hz,PSD_Signal_10Hz,PSD_Signal_40Hz,PSD_Singnal_Mix
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4850970924218e-06,0.006673897822081388,0.008912730453743209,0.006076066080298191,2.1721697621214704e-06,4.1654486393848287e-07,4.3959584033729717e-08,0.052654220712851474
1,0.20040080160320642,0.20040080160320642,0.20040080160320642,0.20040080160320642,0.20040080160320642,0.20040080160320642,0.20040080160320642,0.20040080160320642,6.546790134645634e-05,0.006587917071068536,0.00890053414131486,0.006468503313124234,7.469682889977491e-06,4.2031575528189484e-07,4.396560348727848e-08,0.05387799843024353
2,0.40080160320641284,0.40080160320641284,0.40080160320641284,0.40080160320641284,0.40080160320641284,0.40080160320641284,0.40080160320641284,0.40080160320641284,0.00017867301953555624,0.005521521311742285,0.007981971529792195,0.007070077708464063,1.53845665173658e-05,4.314993081822503e-07,4.398413280646482e-08,0.05948776126072564
3,0.6012024048096193,0.6012024048096193,0.6012024048096193,0.6012024048096193,0.6012024048096193,0.6012024048096193,0.6012024048096193,0.6012024048096193,0.0005447708511801346,0.00636049890649839,0.005220961567306476,0.0075041573591825205,2.56126660224445e-05,4.497420549870344e-07,4.4014952511237176e-08,0.07828645557499696
4,0.8016032064128257,0.8016032064128257,0.8016032064128257,0.8016032064128257,0.8016032064128257,0.8016032064128257,0.8016032064128257,0.8016032064128257,0.42709845133728663,0.24711838004858933,0.11430860821376868,0.00671288093353702,4.025840325075185e-05,4.7455137957688004e-07,4.4058114445862056e-08,0.42755524795273875
5,1.0020040080160322,1.0020040080160322,1.0020040080160322,1.0020040080160322,1.0020040080160322,1.0020040080160322,1.0020040080160322,1.0020040080160322,0.9999827371000513,0.9517610062743206,0.8179590345045845,0.0035879857609740634,6.382354511728512e-05,5.053955562125503e-07,4.4113636492922026e-08,1.0643546486594078
6,1.2024048096192386,1.2024048096192386,1.2024048096192386,1.2024048096192386,1.2024048096192386,1.2024048096192386,1.2024048096192386,1.2024048096192386,0.42709132546000533,0.6294350495316496,0.8176944743158943,0.11430406590718492,0.00010759706898323627,5.417868875732912e-07,4.418153786745686e-08,0.8280740234272207
7,1.402805611222445,1.402805611222445,1.402805611222445,1.402805611222445,1.402805611222445,1.402805611222445,1.402805611222445,1.402805611222445,0.0005599554862309641,0.03524471053800643,0.1145578603967442,0.8179183518567895,0.0002083869780271226,5.833345478197634e-07,4.426184151958986e-08,0.6493852478769524
8,1.6032064128256514,1.6032064128256514,1.6032064128256514,1.6032064128256514,1.6032064128256514,1.6032064128256514,1.6032064128256514,1.6032064128256514,0.0002041101306650634,0.002543421767182434,0.003714724998870989,0.8177207753411935,0.000566651144291124,6.297694409064489e-07,4.4354581375208164e-08,0.6054936310739765
9,1.8036072144288577,1.8036072144288577,1.8036072144288577,1.8036072144288577,1.8036072144288577,1.8036072144288577,1.8036072144288577,1.8036072144288577,0.00010549205214469209,0.005018152512462777,0.006845326390786582,0.11450302524304838,0.42708179657172535,6.809501848105878e-07,4.445978707515874e-08,0.30024179787615696
